URL,Script Category,Leaf Breadcrumb,,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_7?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679416011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679416011&ie=UTF8&qid=1497968710&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Pumps : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_8?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127767011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=6127767011&ie=UTF8&qid=1497968771&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Outdoor : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_4?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A10294506011%2Cp_6%3AATVPDKIKX0DER%7CA7ULJO7NAWM0L%7CA7QKSDTF5TXF5%7CAH1YFAUS3NHX2%7CAG670YE9WDQRF%7CA3NWHXTQ4EBCZS%7CA1LEM297LNF1FK%7CA38MYE29B8LFRT&bbn=10294506011&ie=UTF8&qid=1497969075&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Team Sports : 8 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_S_p_6_56?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679271011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA3NWHXTQ4EBCZS%7CA38MYE29B8LFRT%7CA7ULJO7NAWM0L%7CAG670YE9WDQRF%7CA7QKSDTF5TXF5%7CA1LEM297LNF1FK&bbn=679271011&ie=UTF8&qid=1497969260&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Fitness & Cross-Training : 8 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_hi_6?rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679278011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA7ULJO7NAWM0L%7CAG670YE9WDQRF%7CA7QKSDTF5TXF5%7CA1LEM297LNF1FK&bbn=679278011&ie=UTF8&qid=1497969417,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Golf : 6 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_S_p_6_26?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A3420963011%2Cp_6%3AA38MYE29B8LFRT%7CATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA7ULJO7NAWM0L%7CAG670YE9WDQRF%7CA7QKSDTF5TXF5%7CA3NWHXTQ4EBCZS%7CA2I0YKRFYX9813%7CA1LEM297LNF1FK&bbn=3420963011&ie=UTF8&qid=1497969597&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Tennis & Racquet Sports : 9 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_hi_6?rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679272011%2Cp_6%3AATVPDKIKX0DER%7CA7QKSDTF5TXF5%7CA7ULJO7NAWM0L%7CAH1YFAUS3NHX2%7CAG670YE9WDQRF&bbn=679272011&ie=UTF8&qid=1498022292,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Cycling : 5 sellers",,,,,,,Amazon.com
https://www.amazon.com/s/ref=sr_in_Z_p_6_3?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679303011%2Cp_6%3AATVPDKIKX0DER%7CA1LEM297LNF1FK%7CA3NWHXTQ4EBCZS%7CA7ULJO7NAWM0L%7CAH1YFAUS3NHX2%7CAG670YE9WDQRF%7CA7QKSDTF5TXF5%7CA38MYE29B8LFRT&bbn=679303011&ie=UTF8&qid=1498022487&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Walking : 8 sellers",,,,,,,OutdoorEquipped
https://www.amazon.com/s/ref=sr_nr_p_6_0?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679303011%2Cp_6%3AA38MYE29B8LFRT%7CAH1YFAUS3NHX2%7CA1LEM297LNF1FK%7CAG670YE9WDQRF%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679303011&ie=UTF8&qid=1498038610&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Walking : 6 sellers",,,,,,,RevUp Sports com
https://www.amazon.com/s/ref=sr_in_A_p_6_34?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679295011%2Cp_6%3AA38MYE29B8LFRT%7CAH1YFAUS3NHX2%7CA1LEM297LNF1FK%7CAG670YE9WDQRF%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679295011&ie=UTF8&qid=1498038414&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Skateboarding : 6 sellers",,,,,,,Road Runner Sports
https://www.amazon.com/s/ref=sr_nr_p_6_0?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679291011%2Cp_6%3AA38MYE29B8LFRT%7CAH1YFAUS3NHX2%7CA1LEM297LNF1FK%7CAG670YE9WDQRF%7CA3NWHXTQ4EBCZS%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679291011&ie=UTF8&qid=1498038181&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Sport Sandals & Slides : 7 sellers",,,,,,,Running Warehouse
https://www.amazon.com/s/ref=sr_nr_p_6_0?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679304011%2Cp_6%3AAH1YFAUS3NHX2%7CA1LEM297LNF1FK%7CAG670YE9WDQRF%7CA3NWHXTQ4EBCZS%7CA1M4TXV1S38BBF%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679304011&ie=UTF8&qid=1498037953&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Water Shoes : 7 sellers",,,,,,,SHOEBACCA
https://www.amazon.com/s/ref=sr_in_A_p_6_2?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679305011%2Cp_6%3AAH1YFAUS3NHX2%7CA3NWHXTQ4EBCZS%7CA7QKSDTF5TXF5%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679305011&ie=UTF8&qid=1498037487&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Wrestling : 5 sellers",,,,,,,ShoeMall
https://www.amazon.com/s/ref=sr_nr_p_6_1?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679268011%2Cp_6%3AAH1YFAUS3NHX2%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679268011&ie=UTF8&qid=1498037331&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Bowling : 3 sellers",,,,,,,"Zappos Retail, Inc."
